termino,termino reducido
ESCUELA MUNICIPAL DE MÚSICA,MUSICA
ESCUELA SUPERIOR DE CANTO,MUSICA
CONSERVATORIO PROFESIONAL DE MÚSICA,MUSICA
CENTRO AUTORIZADO ELEMENTAL Y PROFESIONAL DE MÚSICA,MUSICA
CENTRO AUTORIZADO ELEMENTAL DE MÚSICA Y DANZA,MUSICA_DANZA
ESCUELA MUNICIPAL DE MÚSICA Y DANZA,MUSICA_DANZA
CENTRO AUTORIZADO PROFESIONAL  DE MÚSICA Y DANZA,MUSICA_DANZA
CENTRO INTEGRADO DE ENSEÑANZAS ARTÍSTICAS  PROFESIONALES DE MÚSICA Y EDUCACIÓN SECUNDARIA,MUSICA_SECUNDARIA
CENTRO PÚBLICO DE ENSEÑANZAS DEPORTIVAS,OTRO
CENTRO DE FORMACIÓN PARA INTERCAMBIOS INTERNACIONALES,OTRO
CENTRO REGIONAL DE ENSEÑANZAS INTEGRADAS,OTRO
CENTRO DOCENTE EN EL EXTRANJERO,OTRO
CENTRO DOCENTE EXTRANJERO EN ESPAÑA,OTRO
CENTRO DE FORMACIÓN PARA EL EMPLEO,OTRO
CENTRO EDUCATIVO-TERAPÉUTICO,OTRO
CENTRO REGIONAL DE ENRIQUECIMIENTO EDUCATIVO PARA ALUMNADO DE ALTAS CAPACIDADES INTELECTUALES,OTRO
EQUIPO DE ORIENTACIÓN EDUCATIVA Y PSICOPEDAGÓGICA. ATENCIÓN TEMPRANA,OTRONOEDUCATIVO
EQUIPO DE ORIENTACIÓN EDUCATIVA Y PSICOPEDAGÓGICA. GENERAL.,OTRONOEDUCATIVO
EQUIPO DE ORIENTACIÓN EDUCATIVA Y PSICOPEDAGÓGICA. ESPECÍFICO,OTRONOEDUCATIVO
ESTABLECIMIENTO ADMINISTRATIVO,OTRONOEDUCATIVO
COLEGIO DE EDUCACIÓN PRIMARIA,PRIMARIA
CENTRO PRIVADO DE EDUCACIÓN PRIMARIA,PRIMARIA
CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA,PRIMARIA_SECUNDARIA
CENTRO AUTORIZADO DE ENSEÑANZAS DEPORTIVAS GRADO MEDIO,SECUNDARIA
CENTRO PRIVADO DE EDUCACIÓN SECUNDARIA,SECUNDARIA
SECCIÓN DE INSTITUTO DE EDUCACIÓN SECUNDARIA,SECUNDARIA
INSTITUTO DE EDUCACIÓN SECUNDARIA,SECUNDARIA
CENTRO AUTORIZADO DE ENSEÑANZAS DEPORTIVAS GRADO MEDIO Y SUPERIOR,SECUNDARIA_SUPERIOR
INSTITUTO SUPERIOR MADRILEÑO DE INNOVACIÓN EDUCATIVA,SUPERIOR
CENTRO AUTORIZADO DE ENSEÑANZAS DEPORTIVAS GRADO SUPERIOR,SUPERIOR
UNIVERSIDAD,UNIVERSITARIO
